age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
37,management,divorced,university.degree,no,yes,no,cellular,may,mon,176,1,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
33,admin.,married,university.degree,no,yes,no,telephone,jul,fri,52,4,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
27,admin.,single,university.degree,no,yes,yes,cellular,jul,mon,150,4,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
34,services,married,high.school,no,no,no,telephone,may,thu,285,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191
30,admin.,married,high.school,no,no,no,cellular,jul,wed,227,1,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
31,unemployed,single,basic.4y,no,no,no,cellular,nov,fri,12,8,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
56,management,married,university.degree,no,no,yes,telephone,may,wed,171,1,0,nonexistent,1.1,93.994,-36.4,4.858,5191
52,services,married,high.school,no,no,no,cellular,jul,wed,183,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
30,technician,married,professional.course,no,yes,no,telephone,jul,thu,501,2,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1
34,blue-collar,married,basic.6y,no,no,no,telephone,jun,fri,381,3,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1
31,admin.,married,high.school,no,no,no,cellular,oct,thu,142,1,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5
33,admin.,married,university.degree,no,yes,no,cellular,nov,fri,482,1,1,success,-1.1,94.767,-50.8,1.049,4963.6
33,admin.,single,university.degree,no,yes,yes,telephone,apr,wed,117,1,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1
30,technician,single,university.degree,no,yes,no,cellular,aug,mon,14,13,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
28,admin.,single,university.degree,no,no,no,cellular,apr,fri,69,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
24,technician,single,professional.course,no,no,no,telephone,may,tue,240,4,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
41,blue-collar,married,basic.4y,no,yes,yes,cellular,may,wed,389,2,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
26,admin.,married,high.school,no,no,no,telephone,may,thu,326,4,0,nonexistent,1.1,93.994,-36.4,4.86,5191
45,housemaid,single,basic.4y,no,no,no,telephone,sep,mon,569,4,0,nonexistent,-3.4,92.379,-29.8,0.797,5017.5
41,technician,married,high.school,no,no,no,cellular,aug,mon,697,2,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
25,technician,single,high.school,no,yes,no,cellular,may,fri,581,3,2,failure,-1.8,93.876,-40,0.699,5008.7
33,admin.,single,high.school,no,yes,no,cellular,may,tue,659,1,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
34,technician,married,basic.9y,no,no,no,cellular,may,mon,103,1,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
36,technician,single,high.school,no,yes,no,cellular,jul,wed,243,1,1,failure,-2.9,92.469,-33.6,1.029,5076.2
75,retired,married,university.degree,no,yes,no,cellular,jul,thu,229,1,2,failure,-1.7,94.215,-40.3,0.81,4991.6
38,management,married,university.degree,no,no,yes,cellular,nov,fri,79,1,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
58,blue-collar,married,professional.course,no,no,no,telephone,jun,fri,15,12,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
30,admin.,married,high.school,no,yes,no,cellular,jul,fri,53,6,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1
33,admin.,single,university.degree,no,no,no,cellular,may,mon,305,2,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
36,technician,married,basic.6y,no,no,no,cellular,apr,mon,316,2,1,failure,-1.8,93.075,-47.1,1.405,5099.1
54,retired,single,high.school,no,yes,no,cellular,jul,thu,577,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
29,blue-collar,single,high.school,no,yes,no,cellular,jul,fri,90,1,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
28,admin.,single,university.degree,no,yes,yes,cellular,dec,fri,454,6,1,failure,-3,92.713,-33,0.71,5023.5
59,retired,divorced,professional.course,no,no,no,cellular,may,wed,69,1,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
32,technician,single,university.degree,no,yes,no,cellular,aug,wed,25,13,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
55,retired,divorced,professional.course,no,no,yes,telephone,may,wed,217,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
29,admin.,single,university.degree,no,no,no,cellular,aug,thu,139,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
31,technician,married,professional.course,no,no,no,telephone,may,wed,257,2,0,nonexistent,1.1,93.994,-36.4,4.858,5191
34,technician,married,high.school,no,yes,no,cellular,aug,fri,107,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
25,technician,divorced,university.degree,no,yes,no,telephone,jun,mon,214,2,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
35,blue-collar,married,basic.9y,no,yes,no,cellular,dec,thu,105,1,3,success,-3,92.713,-33,0.707,5023.5
49,technician,married,basic.9y,no,yes,no,telephone,may,mon,146,6,0,nonexistent,1.1,93.994,-36.4,4.857,5191
36,admin.,married,university.degree,no,no,no,cellular,may,tue,65,1,1,failure,-1.8,92.893,-46.2,1.266,5099.1
29,technician,single,university.degree,no,yes,yes,cellular,nov,thu,281,2,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
24,student,married,university.degree,no,no,no,cellular,jul,tue,114,1,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
47,admin.,single,university.degree,no,yes,no,cellular,jun,mon,243,4,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2
32,blue-collar,married,basic.4y,no,no,yes,cellular,may,thu,80,4,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
34,technician,single,professional.course,no,no,no,cellular,aug,mon,468,1,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
34,admin.,single,university.degree,no,no,no,cellular,may,fri,101,4,1,failure,-1.8,92.893,-46.2,1.25,5099.1
39,technician,married,professional.course,no,no,no,telephone,jun,tue,83,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
47,blue-collar,married,basic.9y,no,yes,yes,cellular,may,wed,74,6,2,failure,-1.8,92.893,-46.2,1.334,5099.1
32,technician,married,high.school,no,yes,no,cellular,may,tue,67,1,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
29,technician,single,university.degree,no,yes,no,cellular,jul,wed,438,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
57,retired,married,university.degree,no,yes,no,telephone,jun,fri,12,5,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
49,management,married,high.school,no,no,no,cellular,nov,wed,582,1,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
34,technician,married,professional.course,no,yes,yes,telephone,may,fri,224,3,0,nonexistent,1.1,93.994,-36.4,4.855,5191
51,entrepreneur,divorced,university.degree,no,yes,no,cellular,may,mon,212,1,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
47,blue-collar,divorced,basic.9y,no,no,no,cellular,may,tue,295,1,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
53,technician,married,professional.course,no,yes,no,telephone,mar,mon,247,5,2,failure,-1.8,93.369,-34.8,0.646,5008.7
28,technician,married,basic.9y,no,yes,no,cellular,jul,mon,236,2,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
27,technician,single,university.degree,no,yes,no,cellular,oct,wed,184,1,1,failure,-1.1,94.601,-49.5,1.043,4963.6
23,admin.,single,university.degree,no,yes,no,cellular,jul,wed,104,1,2,failure,-1.7,94.215,-40.3,0.881,4991.6
30,student,single,high.school,no,no,no,cellular,aug,thu,200,1,1,failure,-1.7,94.027,-38.3,0.904,4991.6
42,blue-collar,married,basic.6y,no,yes,no,cellular,may,wed,172,1,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
38,admin.,single,university.degree,no,yes,no,telephone,jun,wed,190,2,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
29,admin.,married,university.degree,no,yes,yes,cellular,apr,mon,245,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
44,housemaid,married,basic.4y,no,yes,no,cellular,may,wed,31,1,1,failure,-1.8,92.893,-46.2,1.281,5099.1
45,management,single,basic.9y,no,yes,no,cellular,nov,thu,165,3,1,failure,-0.1,93.2,-42,4.076,5195.8
28,services,married,high.school,no,yes,yes,telephone,may,mon,114,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
29,technician,married,university.degree,no,yes,yes,cellular,aug,wed,94,2,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
28,technician,single,professional.course,no,yes,no,cellular,apr,thu,477,2,1,failure,-1.8,93.075,-47.1,1.483,5099.1
29,technician,single,professional.course,no,yes,no,cellular,may,wed,231,2,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
43,blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,221,2,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
54,management,married,university.degree,no,no,yes,cellular,jul,tue,218,1,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
42,admin.,married,university.degree,no,yes,no,cellular,may,mon,370,5,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1
55,services,married,high.school,no,no,no,cellular,may,mon,336,1,1,failure,-1.8,92.893,-46.2,1.244,5099.1
32,admin.,married,high.school,no,no,no,cellular,aug,fri,52,8,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
23,admin.,single,university.degree,no,yes,yes,telephone,jul,mon,69,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
34,technician,married,professional.course,no,yes,yes,cellular,nov,thu,42,7,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
36,services,married,high.school,no,no,no,cellular,jul,wed,98,3,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
39,services,divorced,basic.9y,no,yes,no,telephone,may,thu,51,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191
50,housemaid,divorced,basic.4y,no,no,no,telephone,sep,tue,57,1,0,nonexistent,-1.1,94.199,-37.5,0.877,4963.6
30,services,single,high.school,no,yes,no,cellular,jun,mon,181,2,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
27,blue-collar,married,basic.9y,no,no,yes,telephone,may,thu,1170,1,0,nonexistent,1.1,93.994,-36.4,4.855,5191
32,admin.,divorced,university.degree,no,yes,no,telephone,may,thu,147,4,0,nonexistent,1.1,93.994,-36.4,4.86,5191
26,admin.,single,university.degree,no,yes,no,cellular,sep,tue,355,1,1,failure,-1.1,94.199,-37.5,0.881,4963.6
45,admin.,single,university.degree,no,yes,no,cellular,aug,wed,99,1,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
28,technician,married,high.school,no,no,no,telephone,may,tue,180,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191
28,blue-collar,single,basic.4y,no,yes,no,telephone,may,mon,101,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
50,technician,married,professional.course,no,no,no,telephone,may,fri,121,2,0,nonexistent,1.1,93.994,-36.4,4.859,5191
31,blue-collar,married,basic.6y,no,yes,no,telephone,jun,fri,55,12,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
34,admin.,single,university.degree,no,no,no,cellular,aug,fri,114,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
29,entrepreneur,married,basic.4y,no,no,no,cellular,jul,tue,103,4,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
58,admin.,married,university.degree,no,no,no,cellular,aug,wed,233,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
46,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,471,3,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
35,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,tue,131,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191
39,admin.,single,high.school,no,no,no,cellular,apr,fri,297,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
40,admin.,married,university.degree,no,yes,yes,cellular,aug,tue,117,1,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
25,admin.,single,university.degree,no,no,no,telephone,jun,mon,94,2,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
40,unemployed,married,professional.course,no,yes,no,cellular,sep,fri,155,3,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5
32,admin.,married,high.school,no,no,no,cellular,jul,mon,549,2,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
44,admin.,divorced,university.degree,no,no,no,telephone,jun,fri,39,2,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
41,admin.,married,university.degree,no,no,no,cellular,jul,mon,1360,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
30,technician,single,university.degree,no,yes,yes,cellular,aug,tue,433,2,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
27,blue-collar,single,basic.9y,no,yes,no,cellular,may,tue,352,1,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
41,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,152,3,0,nonexistent,1.1,93.994,-36.4,4.856,5191
54,entrepreneur,married,professional.course,no,yes,yes,cellular,nov,tue,134,1,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
30,blue-collar,single,professional.course,no,no,no,cellular,may,tue,165,1,1,failure,-1.8,93.876,-40,0.668,5008.7
42,management,married,high.school,no,no,no,cellular,nov,thu,59,2,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
36,services,divorced,basic.9y,no,yes,no,cellular,may,tue,255,2,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191
34,blue-collar,married,basic.4y,no,no,no,telephone,jun,fri,78,2,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
37,services,single,basic.9y,no,no,no,cellular,may,tue,37,1,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
39,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,650,3,0,nonexistent,1.1,93.994,-36.4,4.856,5191
57,admin.,married,university.degree,no,no,no,cellular,jul,mon,230,1,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
52,admin.,married,high.school,no,yes,no,cellular,apr,thu,152,2,1,failure,-1.8,93.075,-47.1,1.435,5099.1
23,technician,single,high.school,no,no,no,cellular,may,thu,104,1,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
50,admin.,married,university.degree,no,no,no,cellular,nov,fri,206,1,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
46,technician,married,professional.course,no,no,yes,telephone,jun,mon,63,1,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
38,management,divorced,university.degree,no,no,no,cellular,nov,mon,136,2,1,failure,-0.1,93.2,-42,4.191,5195.8
53,admin.,single,basic.6y,no,yes,yes,telephone,may,mon,148,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
28,services,married,high.school,no,no,no,cellular,jul,tue,289,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
25,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,155,1,0,nonexistent,1.1,93.994,-36.4,4.859,5191
33,services,single,high.school,no,yes,no,telephone,jun,thu,326,5,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
48,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,544,1,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6
45,self-employed,divorced,university.degree,no,yes,yes,telephone,jun,mon,173,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
24,blue-collar,married,basic.9y,no,yes,no,cellular,oct,fri,160,1,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5
33,blue-collar,married,basic.9y,no,yes,yes,cellular,may,tue,341,1,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
29,admin.,married,university.degree,no,yes,yes,telephone,jun,wed,281,3,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
38,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,177,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191
31,unemployed,married,basic.9y,no,yes,no,telephone,may,wed,43,1,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
34,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,487,5,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38,admin.,married,university.degree,no,yes,no,telephone,jun,tue,43,9,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
57,admin.,single,high.school,no,yes,no,telephone,may,mon,26,5,1,success,-1.8,92.893,-46.2,1.244,5099.1
77,retired,divorced,professional.course,no,no,no,cellular,aug,mon,258,1,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6
46,management,married,university.degree,no,no,yes,cellular,jul,fri,153,2,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
21,student,single,high.school,no,yes,yes,cellular,jun,wed,286,2,0,nonexistent,-1.7,94.055,-39.8,0.767,4991.6
43,management,married,university.degree,no,no,no,cellular,aug,mon,75,1,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2
31,technician,married,university.degree,no,no,no,cellular,oct,tue,146,2,3,failure,-1.1,94.601,-49.5,0.982,4963.6
44,technician,single,university.degree,no,no,yes,cellular,jul,fri,228,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
32,services,single,high.school,no,yes,no,cellular,may,wed,53,1,1,failure,-1.8,92.893,-46.2,1.281,5099.1
48,services,married,high.school,no,no,no,telephone,sep,tue,11,1,0,nonexistent,-1.1,94.199,-37.5,0.881,4963.6
28,blue-collar,single,basic.6y,no,no,no,telephone,may,fri,557,1,0,nonexistent,1.1,93.994,-36.4,4.855,5191
36,blue-collar,married,basic.9y,no,yes,yes,cellular,may,wed,55,1,1,failure,-1.8,92.893,-46.2,1.281,5099.1
52,self-employed,divorced,basic.9y,no,yes,no,cellular,nov,thu,26,5,1,failure,-0.1,93.2,-42,4.076,5195.8
34,services,single,high.school,no,yes,no,cellular,may,thu,541,3,1,failure,-1.8,92.893,-46.2,1.327,5099.1
37,admin.,married,high.school,no,yes,no,telephone,may,mon,115,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191
25,admin.,single,university.degree,no,no,no,cellular,may,wed,101,1,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
48,technician,divorced,professional.course,no,no,no,cellular,aug,tue,69,1,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
36,self-employed,single,professional.course,no,yes,no,telephone,may,mon,113,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191
27,technician,single,professional.course,no,no,no,telephone,may,tue,148,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191
34,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,151,2,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
42,services,married,high.school,no,yes,yes,telephone,apr,fri,73,1,1,failure,-1.8,93.075,-47.1,1.405,5099.1
35,admin.,single,university.degree,no,yes,no,cellular,jul,fri,199,1,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
31,services,divorced,high.school,no,yes,yes,cellular,nov,mon,90,1,0,nonexistent,-0.1,93.2,-42,4.191,5195.8
31,blue-collar,single,basic.9y,no,yes,no,telephone,sep,mon,5,1,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6
31,blue-collar,married,basic.9y,no,no,no,telephone,jul,tue,280,6,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
33,management,married,university.degree,no,yes,no,cellular,may,tue,35,6,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
34,admin.,single,high.school,no,no,no,telephone,jun,tue,423,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
41,admin.,married,basic.9y,no,yes,no,cellular,nov,wed,135,1,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
36,blue-collar,married,basic.6y,no,yes,no,cellular,nov,wed,70,1,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
56,management,married,basic.9y,no,yes,no,telephone,jun,tue,941,3,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
59,retired,married,professional.course,no,no,no,telephone,may,thu,422,3,0,nonexistent,1.1,93.994,-36.4,4.86,5191
40,technician,married,basic.9y,no,yes,no,telephone,may,tue,34,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38,admin.,married,university.degree,no,yes,no,cellular,nov,tue,64,1,3,success,-3.4,92.649,-30.1,0.715,5017.5
34,admin.,married,professional.course,no,yes,no,telephone,may,tue,248,2,0,nonexistent,1.1,93.994,-36.4,4.856,5191
33,admin.,single,high.school,no,no,no,cellular,jul,mon,31,1,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
31,technician,single,high.school,no,yes,yes,cellular,aug,wed,113,2,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
29,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,wed,168,4,1,failure,-1.8,92.893,-46.2,1.281,5099.1
24,admin.,single,high.school,no,yes,yes,cellular,mar,wed,224,1,0,nonexistent,-1.8,92.843,-50,1.602,5099.1
34,admin.,single,basic.6y,no,no,no,cellular,may,thu,22,11,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
27,admin.,married,high.school,no,yes,yes,cellular,may,thu,201,1,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
32,blue-collar,married,high.school,no,no,no,cellular,may,fri,319,1,1,failure,-1.8,92.893,-46.2,1.313,5099.1
49,admin.,married,high.school,no,yes,no,cellular,jul,fri,59,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
36,technician,divorced,basic.9y,no,no,no,telephone,jul,wed,372,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
47,services,divorced,high.school,no,yes,no,telephone,may,tue,313,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191
36,technician,married,university.degree,no,yes,yes,telephone,may,tue,232,4,0,nonexistent,1.1,93.994,-36.4,4.856,5191
30,technician,single,university.degree,no,yes,no,cellular,sep,fri,173,2,4,failure,-1.1,94.199,-37.5,0.879,4963.6
32,entrepreneur,married,high.school,no,yes,no,cellular,nov,wed,100,1,1,failure,-0.1,93.2,-42,4.12,5195.8
54,management,married,university.degree,no,yes,no,cellular,jun,wed,42,1,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
51,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,653,1,0,nonexistent,1.1,93.994,-36.4,4.855,5191
28,technician,divorced,university.degree,no,yes,no,cellular,jul,wed,136,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
54,management,married,university.degree,no,no,no,cellular,may,mon,397,1,1,failure,-1.8,92.893,-46.2,1.264,5099.1
57,admin.,married,basic.6y,no,no,no,cellular,may,fri,259,1,1,failure,-1.8,92.893,-46.2,1.259,5099.1
49,unemployed,married,professional.course,no,no,no,cellular,jun,fri,317,1,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2
53,services,married,university.degree,no,no,no,cellular,may,fri,136,1,1,failure,-1.8,92.893,-46.2,1.25,5099.1
26,student,single,basic.9y,no,yes,no,cellular,mar,mon,1447,2,0,nonexistent,-1.8,92.843,-50,1.811,5099.1
31,technician,married,university.degree,no,no,no,cellular,aug,thu,56,2,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
32,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,999,3,0,nonexistent,1.1,93.994,-36.4,4.856,5191
31,technician,single,high.school,no,no,no,cellular,aug,tue,191,1,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
26,admin.,single,university.degree,no,yes,yes,cellular,may,tue,15,7,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
56,retired,married,basic.9y,no,yes,yes,telephone,may,wed,71,4,0,nonexistent,1.1,93.994,-36.4,4.856,5191
29,admin.,single,university.degree,no,yes,no,cellular,aug,thu,228,3,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
31,technician,married,basic.9y,no,yes,no,cellular,nov,wed,17,5,1,failure,-0.1,93.2,-42,4.12,5195.8
37,technician,married,professional.course,no,yes,no,telephone,jul,tue,242,6,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1
35,self-employed,single,university.degree,no,no,yes,cellular,nov,wed,197,1,1,success,-0.1,93.2,-42,4.12,5195.8
30,entrepreneur,married,high.school,no,yes,no,cellular,nov,wed,164,3,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
36,technician,married,university.degree,no,no,no,telephone,may,wed,146,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
46,services,married,high.school,no,no,no,telephone,may,tue,60,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191
51,unemployed,married,basic.6y,no,no,no,cellular,jun,thu,280,2,1,failure,-2.9,92.963,-40.8,1.26,5076.2
33,technician,single,professional.course,no,yes,no,cellular,aug,tue,396,2,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
25,blue-collar,single,high.school,no,no,no,cellular,may,fri,1068,3,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
54,admin.,single,university.degree,no,no,no,cellular,may,mon,337,1,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1
50,admin.,married,basic.6y,no,yes,no,cellular,jul,wed,137,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
36,management,married,university.degree,no,yes,no,cellular,may,mon,7,6,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1
43,admin.,single,university.degree,no,yes,no,cellular,aug,fri,213,2,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38,blue-collar,married,basic.4y,no,no,no,cellular,may,wed,161,1,1,failure,-1.8,92.893,-46.2,1.334,5099.1
27,admin.,single,high.school,no,yes,no,telephone,may,fri,137,2,0,nonexistent,1.1,93.994,-36.4,4.855,5191
35,management,married,university.degree,no,yes,no,cellular,nov,wed,400,1,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
28,technician,single,high.school,no,yes,no,cellular,jul,tue,124,2,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
43,blue-collar,married,basic.6y,no,no,yes,cellular,jul,tue,197,2,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
34,technician,divorced,professional.course,no,yes,no,cellular,apr,fri,122,1,1,failure,-1.8,93.075,-47.1,1.405,5099.1
48,admin.,divorced,high.school,no,yes,no,cellular,nov,mon,309,1,0,nonexistent,-0.1,93.2,-42,4.191,5195.8
35,admin.,single,high.school,no,yes,yes,cellular,may,tue,200,4,1,failure,-1.8,92.893,-46.2,1.291,5099.1
27,admin.,single,university.degree,no,no,no,cellular,may,mon,409,1,1,success,-1.8,92.893,-46.2,1.299,5099.1
25,admin.,single,high.school,no,yes,no,cellular,jul,thu,103,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
42,technician,married,professional.course,no,yes,yes,cellular,may,thu,50,2,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
47,admin.,divorced,university.degree,no,yes,no,telephone,may,mon,208,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
49,entrepreneur,married,university.degree,no,yes,no,cellular,nov,fri,13,2,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
36,admin.,single,basic.9y,no,yes,no,cellular,may,tue,458,1,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
35,technician,married,professional.course,no,no,no,telephone,jun,mon,200,3,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
